age,sex,soc,edu,Reg,inc,colas,restrntEve,juice,cigs,antique,news,enders,friends,simpsons,football
48,1,4,2,3,12,0,1,1,0,0,1,0,0,0,1
74,1,4,1,2,5,0,1,1,0,1,0,1,0,0,0
67,1,3,1,6,13,0,0,1,0,1,0,0,0,0,0
38,1,2,8,7,19,0,1,1,0,0,0,0,0,0,0
39,1,3,3,5,15,0,1,0,0,0,1,0,0,1,1
59,1,5,2,2,11,1,1,1,0,1,1,0,0,0,0
31,2,4,3,4,14,1,1,1,0,0,0,0,1,0,0
49,2,3,2,11,14,1,1,1,1,0,0,0,0,0,0
71,2,2,1,7,5,0,0,1,1,1,1,0,0,0,0
62,1,3,3,8,15,0,1,0,0,0,0,0,0,0,0
62,1,5,3,9,6,1,0,0,0,1,0,0,0,1,0
53,1,1,8,7,19,1,1,1,0,1,1,1,0,1,0
77,2,2,2,6,12,0,0,1,0,1,0,0,0,0,0
33,2,3,9,11,13,1,0,1,0,0,1,0,1,1,0
46,1,3,3,7,16,1,1,1,0,0,1,0,0,0,0
37,1,4,4,5,14,0,1,0,0,1,0,0,0,0,0
62,1,2,5,8,19,0,1,0,0,0,1,0,0,0,0
18,1,3,4,10,16,0,1,1,0,0,0,1,1,1,1
63,1,3,3,11,12,0,0,1,0,1,1,0,0,0,0
30,1,3,8,3,12,1,1,0,0,0,0,0,0,1,0
53,2,2,8,11,19,0,1,1,0,1,1,1,0,0,0
55,2,5,2,7,12,1,0,1,0,1,1,1,0,0,0
46,2,5,1,8,2,1,0,1,1,0,1,0,0,0,0
38,2,4,4,7,13,1,0,1,0,1,0,0,0,0,0
63,1,6,1,10,7,1,0,1,0,1,0,0,0,0,0
29,2,4,3,7,13,0,1,0,1,0,1,1,0,0,0
46,1,3,2,7,15,1,1,1,1,1,1,0,0,1,0
60,2,3,2,2,10,0,0,1,1,1,1,0,0,0,0
30,1,4,3,7,13,1,0,1,1,0,0,0,0,1,1
36,1,3,3,11,12,1,1,1,0,0,0,1,1,0,0
52,1,5,3,3,13,1,1,1,0,0,1,0,0,0,1
23,1,3,8,8,19,1,1,0,1,0,0,0,1,1,0
67,2,6,1,8,1,0,0,1,0,1,0,1,0,0,0
40,2,2,3,4,17,1,1,1,0,0,1,0,0,0,0
42,1,5,3,3,5,1,1,1,1,0,1,1,0,0,0
69,2,2,8,9,13,0,1,0,0,1,1,0,0,0,0
30,2,5,3,5,1,1,1,0,1,0,1,1,0,0,0
41,2,1,3,8,16,1,1,1,0,1,1,0,1,0,0
31,1,5,3,10,14,0,1,1,0,1,1,1,1,1,0
56,2,4,2,3,14,1,1,1,0,0,0,0,0,0,0
32,2,6,4,7,1,1,1,0,1,0,0,0,0,0,0
42,1,3,2,7,16,1,0,1,1,0,0,1,0,1,0
70,1,3,8,9,14,0,1,1,0,0,0,0,0,0,0
29,2,3,4,1,12,1,1,1,0,0,0,1,1,0,0
30,2,5,3,7,8,1,1,1,1,0,0,0,1,0,0
28,2,5,3,11,12,1,0,0,1,0,0,1,0,1,0
38,1,6,3,2,4,0,0,0,1,0,0,0,0,0,0
71,2,5,2,11,5,0,0,0,0,1,0,1,0,0,0
27,2,3,3,7,16,1,1,1,0,0,1,0,0,0,0
49,1,6,2,7,8,0,0,0,1,0,0,0,0,0,0
26,2,3,5,6,12,1,1,0,0,0,0,0,0,0,0
39,1,2,3,2,19,0,1,1,1,1,1,0,0,0,0
29,2,4,3,4,13,0,1,1,0,1,0,0,0,0,0
62,1,3,8,11,15,1,1,1,0,0,1,0,0,0,0
68,1,3,4,4,12,1,1,0,1,1,1,0,0,0,0
29,2,4,4,9,1,1,1,1,1,0,0,0,1,0,0
40,1,3,9,10,18,1,1,0,0,1,1,0,0,1,0
76,1,6,2,11,5,0,0,0,0,1,0,0,0,0,0
36,2,2,5,8,19,1,1,0,0,0,1,1,1,0,0
58,1,3,3,7,13,1,1,1,0,0,0,0,0,0,0
41,1,3,3,9,12,1,1,1,0,0,1,0,0,0,0
54,1,5,4,1,11,0,1,1,1,0,1,0,1,0,0
85,1,2,3,7,14,0,1,0,0,1,1,0,0,0,0
76,2,3,6,7,8,0,1,1,0,0,0,0,0,0,0
49,2,6,3,11,3,1,1,1,1,1,1,1,0,1,0
68,1,3,1,7,9,0,1,0,0,0,0,0,0,0,0
48,1,6,2,1,1,0,1,0,0,0,0,0,0,0,0
45,1,3,3,9,6,1,0,0,0,1,1,0,0,1,0
66,1,4,4,5,5,0,0,0,0,0,0,0,0,0,0
33,2,2,9,1,14,1,1,1,0,0,0,0,0,0,0
51,2,4,2,3,13,0,0,1,0,1,1,0,0,0,0
57,1,1,2,7,19,1,1,1,0,0,1,0,0,0,0
24,2,6,2,5,3,1,0,1,1,0,0,1,1,0,0
64,1,3,2,2,12,1,0,1,1,0,1,0,0,1,0
52,2,2,8,9,19,1,1,1,0,0,0,0,0,0,0
35,2,6,3,10,8,1,1,1,1,0,1,0,0,0,0
48,1,2,2,4,18,1,1,1,1,1,0,0,0,0,0
75,2,4,1,4,4,0,1,1,0,1,0,0,0,0,0
40,2,6,3,3,1,1,0,0,0,0,0,0,0,0,0
35,2,4,3,9,14,0,0,1,0,1,1,1,0,0,0
41,1,4,7,9,14,1,1,1,0,0,0,0,0,1,0
54,1,4,2,7,18,0,1,0,1,0,1,0,0,0,1
52,1,5,3,9,8,0,0,1,1,0,0,0,0,0,0
34,1,2,9,6,15,0,1,0,1,1,0,0,0,0,0
45,2,4,2,9,11,1,0,1,1,1,0,0,1,0,0
64,2,6,3,3,7,0,0,1,0,1,1,0,0,0,0
49,2,3,2,4,12,1,1,1,1,0,0,0,0,0,0
76,1,3,2,1,13,0,1,1,0,1,1,0,0,0,0
59,2,6,2,2,3,1,0,1,1,1,0,1,0,0,0
43,2,2,2,2,17,1,1,1,0,0,0,0,0,0,0
28,2,3,4,1,16,1,1,1,0,0,0,0,1,1,0
36,1,5,3,10,13,1,1,1,1,0,1,0,0,0,1
49,1,3,3,7,15,1,1,1,0,0,0,0,0,0,0
47,1,3,2,3,14,1,0,0,1,0,0,1,0,1,1
55,2,2,8,2,12,0,1,1,0,1,0,1,1,0,0
51,2,6,3,1,1,1,1,1,0,1,1,0,0,0,0
62,2,2,3,8,18,0,1,1,1,0,0,0,0,0,0
55,2,3,2,5,13,0,1,1,1,1,1,0,0,1,0
30,1,3,8,4,13,1,0,1,1,0,0,0,0,1,1
44,1,6,3,4,6,1,1,1,1,0,1,0,1,0,0
36,2,3,4,9,13,1,1,1,0,0,0,0,0,0,0
31,1,3,3,10,13,1,1,1,0,0,0,0,0,0,0
31,2,5,3,5,13,1,1,1,1,0,0,1,1,1,0
50,1,4,2,4,19,1,1,1,0,1,1,0,0,0,0
72,2,2,1,11,9,0,0,0,0,1,1,0,0,0,0
32,2,4,3,4,1,0,0,0,1,0,0,1,0,0,0
45,2,4,2,1,13,0,0,1,1,0,0,1,0,0,0
67,2,5,1,4,9,1,0,0,0,1,0,0,0,0,0
34,2,4,3,10,15,1,1,1,0,0,1,1,0,0,0
35,2,4,5,9,15,1,0,1,0,0,0,0,0,1,0
45,1,3,3,7,12,0,1,1,1,1,1,1,0,0,0
28,2,3,3,3,12,1,1,1,0,0,0,0,1,0,0
77,1,6,1,4,6,0,0,0,1,0,0,0,0,0,0
56,2,6,4,9,6,0,1,1,1,0,0,0,0,0,0
36,2,6,3,9,10,0,0,1,0,0,0,1,0,0,0
31,2,2,8,9,14,1,0,1,0,0,0,0,0,1,0
51,1,3,2,2,14,1,0,0,0,0,1,0,1,0,0
74,2,4,4,3,11,0,0,0,0,1,1,0,0,0,1
29,1,5,2,11,16,1,1,1,0,0,0,0,1,0,1
34,2,4,5,11,11,1,1,1,0,0,1,1,0,0,0
66,1,5,1,8,1,1,0,0,0,1,0,0,0,0,0
41,1,2,4,7,19,0,1,1,0,0,0,0,0,0,1
37,2,2,8,7,17,1,1,1,1,0,0,1,0,1,0
42,2,3,3,9,13,1,1,1,1,0,0,1,0,0,0
47,2,3,4,1,14,0,1,1,0,1,0,0,0,0,0
49,2,1,4,6,17,1,1,1,0,0,1,0,1,0,0
64,1,4,1,8,5,0,0,1,1,1,0,1,0,0,0
46,2,4,5,11,13,0,1,1,0,0,0,0,0,0,0
32,2,5,3,9,5,1,0,1,1,0,0,1,1,1,0
52,1,6,3,3,11,1,0,0,0,0,1,0,0,0,0
51,2,5,2,7,1,1,0,0,1,1,1,1,0,1,0
53,2,2,3,9,15,1,1,1,0,1,1,1,0,0,0
60,1,4,3,7,15,1,1,1,0,0,1,0,0,0,0
48,1,3,8,7,12,1,1,1,0,0,0,0,0,0,0
60,1,3,2,4,12,0,1,1,0,1,1,1,0,0,0
73,2,4,1,2,3,0,0,1,0,0,0,1,0,0,0
30,1,2,4,10,12,0,1,0,1,0,0,0,0,1,0
33,2,3,3,4,1,1,0,0,0,0,0,0,0,1,0
65,2,4,8,9,14,1,1,1,0,1,1,1,0,0,0
59,2,5,1,2,2,0,0,0,0,1,1,0,0,0,0
76,2,6,1,2,1,0,0,1,0,0,0,0,0,0,0
37,2,4,4,9,13,0,1,0,1,1,1,1,0,1,0
78,1,5,1,6,13,0,0,0,0,1,1,1,0,0,1
34,2,6,3,2,1,0,0,1,1,0,0,1,1,1,0
78,2,6,1,1,5,0,0,0,0,0,1,1,0,0,0
39,1,3,6,7,19,1,1,1,0,1,1,1,0,0,0
18,1,3,3,4,17,1,1,1,1,0,0,0,0,0,0
64,1,4,2,3,4,0,1,0,0,1,1,0,0,0,0
65,2,3,2,7,5,0,1,0,1,1,0,1,0,0,0
47,2,4,2,9,17,1,1,1,0,1,1,0,0,0,0
47,1,3,7,11,17,1,1,1,0,0,0,0,0,0,0
44,2,4,2,1,19,1,1,1,1,0,0,0,0,0,0
65,2,6,1,3,3,0,0,1,0,1,1,1,0,0,0
51,1,3,4,7,12,0,1,1,0,0,1,1,0,0,0
39,2,4,3,10,12,1,0,1,0,0,1,0,1,0,0
25,2,3,9,11,3,1,1,1,0,1,1,0,0,1,0
46,2,2,8,4,19,1,1,1,0,0,0,0,0,0,0
31,2,2,8,8,15,1,1,1,0,0,0,1,1,1,0
69,2,6,3,8,18,1,1,1,0,0,0,0,1,0,0
54,2,3,4,8,13,0,0,0,0,1,1,1,0,0,0
33,1,4,3,5,18,1,1,1,0,0,0,1,0,0,0
25,1,4,3,2,14,1,1,1,1,0,0,1,1,1,1
30,1,4,4,9,13,1,1,1,0,1,1,0,0,1,0
41,2,3,2,6,16,1,1,1,0,1,1,1,0,0,0
68,2,6,1,4,7,0,0,1,0,0,0,0,0,0,0
65,2,6,2,4,4,0,0,1,0,1,1,1,0,0,0
64,1,3,4,7,14,1,1,1,0,1,1,0,0,0,1
35,2,4,4,1,11,1,1,1,0,0,0,1,0,0,1
33,1,3,3,5,17,1,1,1,1,0,0,0,0,1,0
25,2,6,3,8,4,1,0,1,1,0,0,1,1,1,0
70,1,5,1,9,7,0,0,1,0,0,0,0,0,0,0
76,2,6,1,11,4,0,0,0,0,0,0,0,0,0,0
65,2,3,2,6,5,0,0,1,0,1,1,0,0,0,0
28,1,3,5,1,12,1,1,1,0,0,0,1,0,0,0
38,2,1,9,7,17,1,1,1,0,0,1,0,0,0,0
45,2,2,8,7,19,1,1,1,0,0,1,0,0,0,0
71,1,3,4,3,12,0,0,0,0,1,1,0,0,0,1
65,1,4,2,5,12,1,0,1,0,1,1,0,0,0,0
49,2,4,2,7,14,1,1,1,1,1,0,1,1,0,0
64,2,4,5,6,13,0,0,1,1,1,1,0,0,0,0
21,1,4,4,6,14,1,0,0,1,0,0,0,0,0,0
65,2,6,3,4,9,1,0,1,0,0,1,1,0,0,0
76,1,2,1,10,12,0,0,0,0,1,1,0,0,0,0
27,1,5,3,5,9,1,1,1,0,0,0,1,0,1,0
73,1,6,1,5,8,0,0,1,0,0,0,0,0,0,0
68,2,6,1,7,10,0,0,0,0,1,1,0,0,0,0
55,2,4,2,8,1,0,1,1,0,1,0,0,0,0,0
50,2,6,2,6,1,1,1,1,0,1,1,1,0,0,0
38,2,3,4,1,12,1,1,1,1,0,0,0,0,0,0
70,2,4,2,4,9,1,1,1,0,1,0,0,0,0,0
78,2,6,1,9,5,1,0,0,0,0,0,0,0,0,0
38,1,3,2,11,15,1,1,1,1,1,0,0,0,0,1
60,1,4,2,4,14,0,1,0,1,0,0,1,0,0,0
25,1,2,8,11,19,1,1,1,0,0,1,0,1,1,0
51,1,6,2,4,5,1,0,1,0,1,1,1,0,0,1
40,2,2,8,8,19,1,1,0,0,1,1,0,1,0,0
37,2,2,7,5,12,1,1,1,0,1,1,1,1,0,0
61,2,5,4,2,8,1,0,1,1,1,0,0,0,0,0
45,1,5,3,3,13,1,1,1,1,0,1,0,0,0,1
70,2,6,1,6,4,1,0,0,1,0,0,1,0,0,0
40,2,1,5,8,19,1,1,1,0,1,0,1,1,0,0
51,2,6,3,6,7,0,0,1,1,0,0,0,0,0,0
68,1,2,8,7,17,1,0,0,0,1,0,0,0,0,0
39,2,4,7,7,14,1,1,1,0,1,1,0,0,0,0
27,1,3,9,11,13,1,1,0,0,0,0,0,0,0,1
34,2,4,3,2,14,1,1,0,0,0,1,0,0,0,0
84,1,4,3,11,14,0,0,1,0,1,1,0,0,0,0
32,2,3,9,2,7,0,1,1,1,1,0,0,1,1,0
46,2,3,5,3,18,1,1,1,0,0,1,1,0,0,0
44,1,3,3,1,13,0,1,1,1,1,0,1,0,0,0
77,1,6,1,5,5,0,0,0,0,0,1,0,0,0,1
32,1,2,7,5,8,0,1,0,0,0,0,0,0,0,0
