SP500,AA,ALD,AXP,BA,CAT,CHV,DD,DIS,EK,ENE,GE,GM,GT,HWP,IBM,IP,JNJ,JPM,KO,MCD,MMM,MO,MRK,PG,S,TRV,UK,UTX,WMT,XON
0.017444,-0.096154,0.002639,-0.026471,0.075472,-0.04277,0.060759,0.050752,-0.019293,-0.018315,0.016667,0.079479,0.090206,0.070796,0.011446,-0.054334,-0.009804,-0.012987,0.032611,-0.019802,0.011204,0.015296,0.039886,0.066101,-0.040462,-0.009524,0.052521,-0.053628,0.012,-0.072917,0.048465
0.032617,0.055934,0.05,0.117221,-0.011164,0.101702,-0.009547,0.09839,0.091295,0.095149,-0.029508,0.065972,-0.004728,0.055096,0.01194,0.187415,0.075908,0.122807,0.012461,0.015152,0.113573,-0.028249,0.027701,0.068571,0.016867,0.064103,0.0499,0.123333,0.081686,-0.08427,-0.010786
0.006934,0.024775,0.119799,-0.002717,0.05,0.036893,0.081928,0.003518,0.019455,-0.020102,-0.004392,-0.016287,-0.018527,-0.005222,0.188791,0.132488,-0.116564,-0.022604,0.007692,0.07131,-0.003632,0.016977,0.067385,-0.055258,-0.02381,0.098916,0.020532,0.0727,0.051644,0.042945,0
0.007917,0.101099,0.062921,0.076294,0.067797,0.018727,0.008989,0.084967,-0.024809,-0.006993,0.006826,0.03755,0.039024,0.076517,-0.063772,-0.092762,0.104895,-0.013369,0.023634,0.027864,-0.04,-0.007678,-0.103535,-0.055245,0.033537,0.07438,-0.013084,0.102778,0.045402,0.084824,0.025157
0.013431,-0.003992,-0.019027,-0.013165,-0.051948,-0.051838,0.033408,-0.033133,-0.027632,0.077465,0.091525,-0.008026,0.018779,0.022059,0.124834,-0.031461,0.009494,0.00271,0.013554,-0.015106,-0.002604,0.017408,0.027066,-0.028112,0.00177,0.025641,-0.068182,-0.083123,-0.01559,0.038043,0.042945
0.022853,-0.006693,-0.052155,-0.056701,0.041461,0.023392,0.038793,0.000872,-0.020161,-0.022549,-0.000932,0.071197,0.023502,-0.026379,0.005903,-0.006032,0.00627,0.056811,0.032689,0.128834,0.006789,0.045171,0.102635,0.068182,0.039941,0.0221,0.014634,-0.048077,-0.005204,0.08377,0.006353
0.002257,-0.068965,0.043379,-0.02459,0.021994,0.032381,-0.012552,-0.007837,0.034979,0.045378,0.021875,0.048338,-0.049887,-0.049505,-0.0623,-0.0726,-0.075235,0.016688,-0.016576,0.067935,-0.028571,0.010989,0.056604,0.005261,0.031294,-0.044226,0.099398,-0.078261,0.051429,-0.017295,0.025074
-0.045748,0.016688,0.028446,-0.014566,0.015782,-0.021771,-0.019068,0.020537,-0.113559,-0.040193,-0.036697,-0.046571,-0.069212,-0.078125,-0.116688,0.085859,0.027119,-0.035354,0.004431,-0.043367,-0.008021,-0.022691,0.00601,-0.005803,-0.010207,-0.156812,-0.073973,0.056604,-0.021739,-0.054187,-0.053237
0.018814,0.071121,0.054894,0,0.025763,0.045541,0.026609,0.024087,0.024719,-0.023116,0.024444,0.010638,0.026154,0.036723,-0.005682,0.067209,0.062706,0.035393,0.029412,0.072,0.001617,0.065231,-0.142174,0.021401,-0.004202,0.07878,0.030178,0.034226,0.007111,0.101146,0.000486
0.054203,-0.050302,0.066802,0.057143,0.044199,0.094374,0.063694,0.073059,0.109649,0.082759,0.015576,0.100271,-0.032746,0.010959,0.117029,0.088525,0.0625,0.040609,0.024971,0.014925,0.021563,0.014545,0.01337,0.078476,0.097046,0.017045,0.132565,0.054913,0.067627,0,0.021472
0.026101,-0.00072,-0.005693,0.021081,0.009259,-0.084245,0.0499,0.052482,0.043241,0.014331,0.141104,0.063187,0.117188,-0.00542,-0.094872,0.036145,0.002941,-0.039024,-0.028129,-0.007371,-0.060686,0.094982,0.029248,0.049734,0.02,0.081006,0.107379,-0.065753,0.069574,0.004739,0.064565
0.073376,0.085288,0.121756,0.111702,0.044875,0.153005,0.027224,0.022318,0.121442,0.023862,-0.008602,0.074935,0.082051,0.063324,0.220963,0.238178,0.002933,0.085076,0.091172,0.014851,0.052247,0.102979,0.117727,0.123519,0.098485,0.033178,0.105988,0.08651,0.093592,-0.037736,0.073794
-0.021505,0.001965,-0.085324,0.085646,0.071698,-0.048973,-0.029851,-0.001326,-0.055838,-0.010786,-0.059946,-0.044279,-0.032538,0.059278,-0.065058,-0.049412,-0.047059,-0.065728,0.044297,0.02934,-0.029412,-0.008955,0.106053,-0.035843,-0.010345,-0.075377,0.008333,-0.113821,-0.055258,-0.105784,0.038411
