,TWEIX,BRKA,DGRIX,LBF,FTRNX,JAVLX,OPGSX,PRTBX,PTTRX,PINCX,GSPC,VWNDX
20020930,-0.065871,0.01233,-0.111561,0,-0.105927,-0.065038,0.001567,0.000736,0.011744,0.012876,-0.10485,-0.128514
20021031,0.053398,0.00392,0.096834,-0.00383,0.097602,0.075918,-0.086072,0.000442,-0.000009,-0.006718,0.08228,0.088479
20021129,0.046083,-0.02548,0.054329,0.08079,0.062195,0.020348,0.010274,0.000588,0.003685,0.002267,0.06168,0.076207
20021231,-0.021481,0.00622,-0.068184,0.03987,-0.061316,-0.06009,0.19178,-0.000147,0.020611,0.017491,-0.05664,-0.048897
20030131,-0.026034,-0.07079,-0.033766,0.04918,-0.024068,-0.013788,-0.003597,0.0003,0.004356,0.002262,-0.02459,-0.02
20030228,-0.022013,-0.08728,-0.015233,0.06094,-0.013259,-0.012583,-0.059928,0.000451,0.014166,0.012177,-0.01348,-0.026361
20030331,0.006392,0.03404,0.005096,-0.02651,0.008331,0.021593,-0.082949,0.00045,0.002291,0.000158,0.00206,0.008734
20030430,0.07074,0.09428,0.091568,0.05934,0.084222,0.057519,-0.00335,-0.00015,0.011469,0.009128,0.08461,0.10303
20030530,0.061562,0.01697,0.055648,0.06715,0.051868,0.047182,0.116807,0.00015,0.01682,0.017949,0.05484,0.065149
20030630,-0.000294,0.02113,0.004406,-0.0301,0.015424,0.019086,0.037622,0.00045,-0.000219,-0.00017,0.01066,0.010939
20030731,0.007112,-0.00676,0.009412,-0.03673,0.014499,0.011053,0.054387,-0.0003,-0.037467,-0.033879,0.01803,0.021994
20030829,0.019774,0.05228,0.021756,0.01946,0.018149,0.00911,0.149931,-0.00015,0.008418,0.005949,0.02063,0.02439
20030930,-0.003854,-0.01023,-0.013992,0.03377,-0.012032,-0.008125,0.040072,-0.0003,0.028414,0.027151,-0.01089,0.0007
20031031,0.030769,0.03747,0.053282,0.02983,0.053676,0.033374,0.155262,-0.0003,-0.006768,-0.007527,0.05353,0.06578
20031128,0.016282,0.07634,0.008798,0.02676,0.007063,0.005872,0.125436,0,0.002499,0.005821,0.01092,0.026264
20031231,0.064283,0.00597,0.056317,0.05764,0.048348,0.061052,-0.018505,-0.000301,0.011768,0.007294,0.05032,0.045865
20040130,0.001285,0.0622,0.011027,0.02381,0.016129,0.022671,-0.118069,0.000302,0.006702,0.010229,0.01977,0.02583
20040227,0.021823,0.05598,0.007498,-0.01292,0.015673,0.026494,0.035772,0.000151,0.011724,0.011643,0.01357,0.01199
20040331,-0.009891,-0.0127,-0.014141,0.0144,-0.015038,0.005267,0.04134,-0.000302,0.008371,0.00802,-0.0132,-0.012441
20040430,0.001276,0.00096,-0.024742,-0.14934,-0.015669,-0.00131,-0.202513,0,-0.022964,-0.025412,-0.01892,-0.026995
20040528,0.001274,-0.04701,0.010571,0.00774,0.012653,0.034365,0.088217,-0.000151,-0.003464,-0.005214,0.01712,0.011714
20040630,0.025362,-0.00056,0.017573,-0.02458,0.021161,0.003043,-0.022003,-0.000151,0.004647,0.006781,0.01849,0.025021
20040730,-0.012516,-0.01911,-0.032944,0.05683,-0.034932,-0.064981,-0.01717,0.000302,0.010619,0.00823,-0.03222,-0.03471
20040831,0.015209,-0.00287,0.004968,0.05784,0.001431,0.027853,0.063253,0.000302,0.019864,0.017123,0.00244,0.00248
20040930,0.007142,-0.00402,0.00346,0.02734,0.014499,0.043936,0.101416,0,0.001718,0.003669,0.01002,0.016079
20041029,0.001247,-0.0277,0.01622,0.0533,0.012681,-0.002016,0.015432,0.000604,0.010112,0.008059,0.01288,0.019477
